Unnamed: 0.1	Unnamed: 0	id	author_id	like_count	quote_count	reply_count	retweet_count	referenced_tweet_id	referenced_tweet_type	text	negative	neutral	positive
425	5	5.170658894146683e+17	2435104896.0	0.0	0.0	0.0	0.0			Me and #shitbird channeling some #wolfofwallstreet on our 36th hole. #golflife #adventureswithshitbird http://t.co/lEOo1tIw6L	0.0119	0.7436	0.2445
426	6	5.170539458236498e+17	751709527.0	0.0	0.0	0.0	0.0			@LeoDiCaprio just never loses it, what a man, what a voice #wolfofwallstreet	0.0074	0.0277	0.965
427	7	5.1702691611805286e+17	76573600.0	0.0	0.0	0.0	0.0			Time to get some sales!!!! #Wolfofwallstreet #sales #justdoit	0.0126	0.2622	0.7252
428	8	5.1701965510672384e+17	237105651.0	1.0	0.0	0.0	0.0			The #WolfofWallStreet speaks out. Win 2 tickets to the event on our Instagram page at EventbriteLA! http://t.co/LP34oTrMtq #tickettuesday	0.004	0.5223	0.4737
429	9	5.169999954182349e+17	365856068.0	0.0	0.0	0.0	1.0	5.169925015727104e+17	retweeted	RT @TheLeviLake: Some people are okay with being average. Those people are losers. #WolfOfWallStreet	0.9133	0.0774	0.0093
430	10	5.169961730189599e+17	462508663.0	0.0	0.0	0.0	0.0			The highlight of my day has to be getting called a mini Jordan Belfort. #ByChance #WolfOfWallStreet	0.0056	0.0468	0.9476
431	11	5.169925015727104e+17	629508997.0	1.0	0.0	0.0	1.0			Some people are okay with being average. Those people are losers. #WolfOfWallStreet	0.9166	0.0721	0.0113
432	12	5.1697845187065856e+17	2376059671.0	0.0	0.0	0.0	0.0			Excited for #PTA's #InherentVice. Hope it doesn't fall into the unfocused story, out-of-control acting of #AmericanHustle/#WolfofWallStreet.	0.0127	0.0671	0.9202
433	13	5.16952617680126e+17	763053206.0	0.0	0.0	0.0	0.0			Jordan Belford #wolfofwallstreet or Carlton banks #FreshPrinceOfBelAir #decadeday#hocowk#day2 http://t.co/1cbDJ6FgpV	0.0074	0.9346	0.058
434	14	5.1693354054270566e+17	263256889.0	1.0	0.0	0.0	0.0			Give me some lemons #wolfofwallstreet #somefilm	0.0897	0.721	0.1893
435	15	5.1682436393363046e+17	48131518.0	2.0	0.0	0.0	0.0			Gonna watch #WolfOfWallStreet while i study/do homework.. lets see how long i go until i pop a quaalude	0.0448	0.747	0.2082
