index	Unnamed: 0.2	Unnamed: 0.1	Unnamed: 0	id	author_id	like_count	quote_count	reply_count	retweet_count	referenced_tweet_id	referenced_tweet_type	text	negative	neutral	positive	date
67821	11411	11411	11404	4.402924757990892e+17	144829724.0	0.0	0.0	0.0	48.0	4.402913525309153e+17	retweeted	RT @juicycouture: Less everyone else, more #LeonardoDiCaprio please. #Oscars #redcarpet #WolfofWallStreet	0.0156	0.3414	0.643	0.0
41421	26795	26795	26787	4.237351774753956e+17	579497648.0	0.0	0.0	0.0	48231.0	4.191983750539018e+17	retweeted	RT @justinbieber: movies to see this weekend. #BelieveMovie and #wolfofwallstreet.	0.003	0.5782	0.4188	2014-01-16
20391	5765	5765	5764	4.272404769958953e+17	2282822532.0	0.0	0.0	0.0	0.0			"""@GSElevator: #1: My personality is 30% the last movie I watched."" So that's where my Brooklyn accent came from…? #wolfofwallstreet"	0.0497	0.75	0.2003	2014-01-26
61736	5326	5326	5322	4.446711885900063e+17	1358236272.0	1.0	0.0	0.0	0.0			Gotta feed the geese to keep the blood flowin #wolfofwallstreet	0.0712	0.8026	0.1262	2014-03-15
42292	27666	27666	27658	4.2348497578296525e+17	567847222.0	0.0	0.0	0.0	48231.0	4.191983750539018e+17	retweeted	RT @justinbieber: movies to see this weekend. #BelieveMovie and #wolfofwallstreet.	0.003	0.5782	0.4188	2014-01-15
8810	5686	5686	5686	4.1638292512322765e+17	558720982.0	1.0	0.0	0.0	0.0			#WolfofWallStreet reminded me of 12 Years: brilliant in parts but not perfect. Ran out of steam around last half-hour. DiCaprio incredible.	0.0334	0.0888	0.8778	2013-12-27
6576	3452	3452	3452	4.169956039658332e+17	2185555604.0	0.0	0.0	0.0	1.0	4.169954754523628e+17	retweeted	RT @BeatsByBas: Bout to go see #WolfofWallStreet	0.0066	0.7266	0.2668	2013-12-28
90302	141	141	141	5.500463226326917e+17	1388230704.0	0.0	0.0	0.0	447.0	5.500248147866665e+17	retweeted	RT @netflix: You know what a fugazi is? #WolfOfWallStreet http://t.co/ZgngjWVTRZ	0.6215	0.3631	0.0154	0.0
57221	811	811	809	4.501159752923996e+17	390438091.0	0.0	0.0	0.0	0.0			#WolfOfWallStreet is SOOOOO AMAZING! @LeoDiCaprio Bravo!	0.0048	0.0082	0.9869	2014-03-30
32693	18067	18067	18062	4.246905766936617e+17	75060803.0	0.0	0.0	0.0	0.0			To be fair Leo out does himself in #wolfofwallstreet #topclass #loadsofboobs	0.036	0.3856	0.5785	2014-01-18
64535	8125	8125	8120	4.405902975723152e+17	75889354.0	0.0	0.0	0.0	0.0			I'm sorry, @LeoDiCaprio you are legend! I have said it once and I'll say it again. Your performance in #WolfOfWallStreet...was insane!	0.0148	0.0358	0.9493	0.0
25811	11185	11185	11180	4.259806081172112e+17	466493482.0	0.0	0.0	0.0	0.0			Needs today to be over!!! Cinema tonight. #WolfOfWallStreet	0.3784	0.3105	0.3111	0.0
37148	22522	22522	22514	4.240350180216873e+17	1099124418.0	0.0	0.0	0.0	5470.0	4.2384786245616026e+17	retweeted	RT @LeoDiCaprio: Congrats to my fellow nominees, @JonahHill, Marty, Terry Winter and #WolfofWallStreet family for the #Oscar noms.	0.0018	0.0304	0.9677	2014-01-17
72380	1978	1978	1976	4.572056137479086e+17	571591387.0	0.0	0.0	0.0	0.0			"""There's no nobility in poverty""#WolfOfWallStreet"	0.798	0.1841	0.0179	2014-04-18
39791	25165	25165	25157	4.238529249521336e+17	466250003.0	0.0	0.0	0.0	1.0	4.238520386621399e+17	retweeted	RT @asapp_xo: I didn't even get to watch the golden globes but I knew @LeoDiCaprio was gonna win best actor for #wolfofwallstreet he deserv…	0.0161	0.1745	0.8094	2014-01-16
10766	7642	7642	7642	4.160013407754936e+17	67933376.0	0.0	0.0	0.0	0.0			Leo &amp; Scorsese with another great film #wolfofwallstreet	0.0026	0.0242	0.9731	2013-12-26
28288	13662	13662	13657	4.254051751681065e+17	558363978.0	0.0	0.0	0.0	0.0			For the Love of Money http://t.co/0Q7Lrcr0nI - at least someone on Wall Street has some sense of self and wisdom #wolfofwallstreet #notthe1%	0.6124	0.2835	0.1041	0.0
12928	9804	9804	9804	4.133499062841508e+17	705508007.0	0.0	0.0	0.0	145.0	4.133456685023969e+17	retweeted	"RT @CNN: Partying with the real #WolfOfWallStreet: ""It was like Disney land for dysfunctional people."" http://t.co/yCKY1wzY30 http://t.co/Q…"	0.2434	0.6636	0.093	2013-12-18
14752	126	126	126	4.2936439864663245e+17	240300926.0	0.0	0.0	0.0	0.0			Date night with @LucyXmarshall 👯👯😘😘 #wolfofwallstreet #benandjerrys💙💙💙 xxx http://t.co/KqrDdns2nb	0.0012	0.0355	0.9633	2014-01-31
1217	1217	1217	1217	3.4653043864856166e+17	20022054.0	0.0	0.0	0.0	0.0			VIDEO: The trailer for @LeoDiCaprio's new movie about former broker Jordan Belfort is out: http://t.co/YDx7ykUYG3 #WolfOfWallStreet	0.0037	0.9255	0.0708	0.0
45727	831	831	831	4.384366477731717e+17	422002688.0	1.0	0.0	0.0	0.0			Mum and dad watching wolf of Wall Street ... Life lessons inbound ... #wolfofwallstreet	0.0197	0.4095	0.5708	2014-02-25
88689	1156	1156	1156	5.2208967632971366e+17	90910894.0	0.0	0.0	0.0	1.0	5.220850302194811e+17	retweeted	RT @ConnorTonks95: You can't help but want #JordanBelforts life when watching #wolfofwallstreet 😂😂😂😂😂👌👌👌👌👌	0.0164	0.127	0.8566	2014-10-14
92155	1994	1994	1994	5.443427425794212e+17	855109190.0	0.0	0.0	0.0	681.0	5.439775042564424e+17	retweeted	RT @netflix: “Sell me this pen” #WolfOfWallStreet http://t.co/aooGuZ29HI	0.1795	0.7739	0.0467	2014-12-15
47633	2737	2737	2737	4.361798356613325e+17	300247360.0	0.0	0.0	0.0	1.0	4.361744861788979e+17	retweeted	RT @Vicky_Goddard: #WolfOfWallStreet @cineworld with my beaut @karlaltringham this evening #excited 🎬☺️👍	0.0014	0.0098	0.9888	2014-02-19
5526	2402	2402	2402	4.173450472110326e+17	1328480526.0	0.0	0.0	0.0	0.0			Damn, I hope Leo will finaly get an Oscar for this one. It was amazing. #wolfofwallstreet 💰💊	0.0077	0.0246	0.9677	2013-12-29
62749	6339	6339	6334	4.427866687439053e+17	2370793920.0	0.0	0.0	0.0	1273.0	4.2278332156778906e+17	retweeted	RT @LeoDiCaprio: Thank you Reuben! Appreciate it. RT: @RHoneymonzta: DiCaprio winning Best actor at the #GoldenGlobes for #wolfofwallstreet…	0.0017	0.025	0.9733	0.0
92819	2658	2658	2658	5.439619871020155e+17	933351883.0	0.0	0.0	0.0	0.0			This movie already starts off crazy. Lmaoooo #wolfofwallstreet	0.2515	0.375	0.3736	2014-12-14
20832	6206	6206	6205	4.271784231494205e+17	319685197.0	0.0	0.0	0.0	0.0			Staying home all day and watching a good movie #100happydays @100happydayscom #day22 #wolfofwallstreet http://t.co/nXjxVKGdB1	0.0024	0.0943	0.9033	0.0
54725	9829	9829	9825	4.30287215319851e+17	1511779915.0	0.0	0.0	0.0	0.0			New LIVE AT THE ESSOLDO PODCAST from @BeamesOnFilm &amp; myself https://t.co/vDG0OmP1sF #wolfofwallstreet #InsideLlewynDavis  @DukeofYorks	0.0031	0.8471	0.1498	2014-02-03
53136	8240	8240	8240	4.312556883846185e+17	306505452.0	0.0	0.0	0.0	0.0			Just a random #WolfOfWallStreet text lol http://t.co/Pdu7ghCu74	0.1203	0.6745	0.2052	0.0
55092	10196	10196	10192	4.300694927023882e+17	1052506092.0	0.0	0.0	0.0	48231.0	4.191983750539018e+17	retweeted	RT @justinbieber: movies to see this weekend. #BelieveMovie and #wolfofwallstreet.	0.003	0.5782	0.4188	2014-02-02
80397	3782	3782	3782	4.62982625905238e+17	621374314.0	0.0	0.0	0.0	1.0	4.6297957759453184e+17	retweeted	RT @ETKevinsMind: Revised Top Ten List from 2013, #WolfOfWallStreet moves up #TheActOfKilling enters the list http://t.co/ZMgcjVyONS	0.0197	0.9333	0.0469	2014-05-04
16244	1618	1618	1618	4.286509368990761e+17	46670168.0	0.0	0.0	0.0	0.0			#CatchMeIfYouCan was nice. I liked the ending but you're gonna be shocked if you watch it right after #WolfOfWallStreet. Oh, DiCaprio!	0.0115	0.042	0.9465	2014-01-29
88330	797	797	797	5.229551561835848e+17	1873457474.0	0.0	0.0	0.0	308.0	5.2295217392439296e+17	retweeted	"RT @ShitBsbPlyrsSay: What a walk up song😂 #WolfofWallStreet 
https://t.co/mn6xaJ2EQ9"	0.0107	0.1827	0.8066	2014-10-17
23269	8643	8643	8638	4.26490686549291e+17	345486062.0	0.0	0.0	0.0	0.0			"Wtf: Leonardo DiCaprio picked up $10m for #WolfOfWallStreet, while Jonah Hill only got $60,000. That can't be right! ""/"	0.6209	0.344	0.0352	2014-01-23
74040	3638	3638	3636	4.544750822752256e+17	79173404.0	0.0	0.0	0.0	0.0			My mom: hey what are u watching? Me: The wolf of wall street. She sits down....5 min later.........WTF Is THIS??? Lmaooo #wolfofwallstreet	0.1713	0.6395	0.1891	2014-04-11
87552	19	19	19	5.282078817460183e+17	1120916971.0	0.0	0.0	0.0	0.0			After yesterday, it's only right if I'm Jordan Belfort for Halloween #wolfofwallstreet	0.0377	0.5057	0.4567	2014-10-31
10114	6990	6990	6990	4.160749874776842e+17	34034575.0	0.0	0.0	0.0	1.0	4.160735008863355e+17	retweeted	RT @twiles92: Omg and that is why Leo is the king #wolfofwallstreet	0.006	0.1105	0.8835	2013-12-26
38432	23806	23806	23798	4.238884576062628e+17	330424560.0	0.0	0.0	0.0	0.0			Last night saw #wolfofwallstreet #LeonardoDiCaprio and I'm still thinking about right now. 3 hour length felt like an hour. Go see it.	0.0142	0.1513	0.8345	2014-01-16
60086	3676	3676	3673	4.4794958123894784e+17	334111515.0	0.0	0.0	0.0	0.0			"Watching Wolf of Wall Street packing for Miami 

#JFK2MIA #WolfOfWallStreet #GreatMovie #ShakeYaTittiesForKush_TV #InMiami #KushMinded"	0.017	0.4249	0.5582	2014-03-24
