,Unnamed: 0.1,Unnamed: 0,id,author_id,like_count,quote_count,reply_count,retweet_count,referenced_tweet_id,referenced_tweet_type,text
753,753,753,1437399972874436608,24704264,0,0,0,34,1.437248514392826e+18,retweeted,"RT @MTVNEWS: .@chloexhalle are our favorite sister duo! On the #VMAs red carpet with @Dometi_, @HalleBailey gushed over @ChloeBailey's new…"
754,754,754,1437398333937655814,508702578,0,0,0,0,,,"'The Little Mermaid': Disney's Live Action Set for May 26 2023 Release!! #Awkwafina, #DaveedDiggs, #Disney, #HalleBailey, #JacobTremblay, #JavierBardem, #JonahHauerKing, #LinManuelMiranda, #MelissaMcCarthy, #TheLittleMermaid https://t.co/Ma1bHDiD7u"
755,755,755,1437382756858802182,951233872003440641,0,0,0,338,1.426945219325567e+18,retweeted,RT @JoNSFW1: New prince Eric commission! I'm really in love for this piece 😍 as always you can find the uncensored version on my pixiv Fanb…
756,756,756,1437364014439444481,785984292505673728,0,0,0,34,1.437248514392826e+18,retweeted,"RT @MTVNEWS: .@chloexhalle are our favorite sister duo! On the #VMAs red carpet with @Dometi_, @HalleBailey gushed over @ChloeBailey's new…"
757,757,757,1437362373665300482,1326656663739265025,0,0,0,6050,1.1522382025199944e+18,retweeted,"RT @s0s2: Part of our wooorld~ 🐠🎶
#thelittletrashmaid #trashmaid #animation #ariel #mermaid #TheLittleMermaid #Ariel2019 #ArielisBlack #sav…"
758,758,758,1437358432412110850,3387168478,0,0,0,34,1.437248514392826e+18,retweeted,"RT @MTVNEWS: .@chloexhalle are our favorite sister duo! On the #VMAs red carpet with @Dometi_, @HalleBailey gushed over @ChloeBailey's new…"
759,759,759,1437346896754917377,1432916016028274692,0,0,0,3063,1.411227076703654e+18,retweeted,"RT @seeu_cosplay: #TheLittleMermaid 
#Ariel
#DisneyPrincess 
🧜‍♀️ 

Out of the sea🐚🐟

Wish I could be❤️

Part of that world～ https://t.co/c…"
760,760,760,1437326691999834115,1399409711443755009,0,0,0,34,1.437248514392826e+18,retweeted,"RT @MTVNEWS: .@chloexhalle are our favorite sister duo! On the #VMAs red carpet with @Dometi_, @HalleBailey gushed over @ChloeBailey's new…"
761,761,761,1437316644729098243,1422055429413031937,0,0,0,34,1.437248514392826e+18,retweeted,"RT @MTVNEWS: .@chloexhalle are our favorite sister duo! On the #VMAs red carpet with @Dometi_, @HalleBailey gushed over @ChloeBailey's new…"
762,762,762,1437308817478340609,32767345,0,0,0,1327,1.4364371249291756e+18,retweeted,"RT @FilmUpdates: #TheLittleMermaid starring Halle Bailey and Jonah Hauer-King will be released in theaters on May 26, 2023. https://t.co/ue…"
