index	Unnamed: 0.2	Unnamed: 0.1	Unnamed: 0	id	author_id	like_count	quote_count	reply_count	retweet_count	referenced_tweet_id	referenced_tweet_type	text	negative	neutral	positive	date
113441	107789	107789	107789	1146941015078498305	843486583688855552	1	0	0	0			"Me: I don't want anything from @Hasbro 
Hasbro releases #TheLittleMermaid #sdcc exclusive. 
Me: Well, looks like I need to put in effort with a good amount of luck this year."	0.6367	0.3085	0.0548	2019-07-05
31379	25727	25727	25727	1151316825386442752	2288605346	0	0	0	6289	1.1512125955479716e+18	retweeted	RT @THR: Harry Styles (@Harry_Styles) in talks to play Prince Eric in #Disney's live-action #TheLittleMermaid https://t.co/nYX249TnXE https…	0.0031	0.8557	0.1412	2019-07-17
361359	78655	78655	78655	1571168850976145408	1415406732159893508	0	0	0	7689	1.570933037956993e+18	retweeted	"RT @_ladyshalirin: Gorgeous in any outfit 
#Disney #TheLittleMermaid https://t.co/TEQiqFUuZj"	0.0036	0.0467	0.9496	2022-09-17
275460	1196	1196	1196	1547055059871191045	1495835121437523972	0	0	0	197	1.5459397475578511e+18	retweeted	RT @vanekaiiri: Disney mirrorverse 🧎🏻‍♀️♥️ #thelittlemermaid https://t.co/YirQ612fob	0.0026	0.1415	0.8559	2022-07-13
93372	87720	87720	87720	1147174375973457922	1069661333421993987	0	0	0	4626	1.1469470343495392e+18	retweeted	RT @janetmock: “I would like to see it.” #TheLittleMermaid https://t.co/mr2GAl9fLf	0.0033	0.4239	0.5727	2019-07-05
232477	1644	1644	1644	1397341597419900929	143321650	0	0	0	1026	1.3972854698644849e+18	retweeted	RT @BroadwayWorld: BroadwayWorld is saddened to report on the passing of Samuel E. Wright, who was best known for creating the voice of Seb…	0.3593	0.593	0.0478	2021-05-25
99490	93838	93838	93838	1147080696613298176	23284067	0	0	0	81	1.1470454467049636e+18	retweeted	RT @Bosslogic: Wanted to mess with @MissyElliott X Ursula 😁 #TheLittleMermaid https://t.co/bomcndh8SL	0.0294	0.6792	0.2913	2019-07-05
155680	8861	8861	8861	1171195528065032193	896507236314484736	0	0	0	9333	1.1696338234931855e+18	retweeted	"RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN a Target exclusive Kiss the Girl Movie Moment! 
#TheLittleMermaid #Funko…"	0.0046	0.3162	0.6791	2019-09-09
69434	63782	63782	63782	1147767140285648896	3667124715	0	0	0	23138	1.1476477977321062e+18	retweeted	"RT @FreeformTV: An open letter to the Poor, Unfortunate Souls:

#TheLittleMermaid #Ariel #MyAriel https://t.co/XYJSXKt2BU"	0.1888	0.7684	0.0427	2019-07-07
390524	107820	107820	107820	1570673275516383232	860549960	0	0	0	8081	1.5705349974840074e+18	retweeted	"RT @_ladyshalirin: My favourite dress from the Little Mermaid, do you remember it? 
Halle in it *^*
#TheLittleMermaid #Disney https://t.co/…"	0.0027	0.0582	0.9391	2022-09-16
52942	47290	47290	47290	1148333013870239745	25777703	0	0	0	4	1.14828943519846e+18	retweeted	RT @Corlon_Evans: This is my favorite illustration of .⁦@chloexhalle⁩ (Halle) since the news was released. #TheLittleMermaid  😌 https://t.c…	0.0019	0.0138	0.9843	2019-07-08
